Ticker,Basic_EPS_TTM,Total_Revenue_TTM
SAGA-A,12.7,5288000000.0
SAGA-B,12.7,5288000000.0
SAGA-D,12.7,5288000000.0
SALT-B,-0.3199999999999999,23389000.0
SAMPO-SDB,0.27,10183000000.0
SAND,11.55,121458000000.0
SANION,1.94,338433000.0
SAVE,11.23,5311300000.0
SAXG,-5.526633,276720000.0
SBB-B,-2.96,3439000000.0
SBB-D,-2.96,3439000000.0
SBOK,4.069999999999999,435521000.0
SCA-A,5.38,20924000000.0
SCA-B,5.38,20924000000.0
SCIB,-0.33,32503000.0
SCOUT,-0.0305679999999999,48856000.0
SCST,4.35,13436000000.0
SDIP-B,7.29,5164000000.0
SDIP-PREF,7.29,5164000000.0
SDOS,0.01,62023000.0
SEAF,-3.1699999999999995,893000000.0
SEB-A,16.34,80271000000.0
SEB-C,16.34,80271000000.0
SECARE,0.41,2602900000.0
SECT-B,2.93,3239811000.0
SECU-B,9.739999999999998,160193000000.0
SEDANA,-0.5,196124000.0
SENZA,-0.68,57015000.0
SERT,-0.11,41173000.0
SES,-9.999999999940612e-07,120482000.0
SEYE,-6.17,359016000.0
SEZI,-0.97,80634000.0
SF,-14.45,6254000000.0
SFAB,8.06,1176883000.0
SFAST,0.47,1000500000.0
SFL,-0.06,771980000.0
SFTR,-0.96553,57419000.0
SGG,-0.26006,658592000.0
SHB-A,13.06,60096000000.0
SHB-B,13.06,60096000000.0
SHOT,3.43,22011000000.0
SIBEK,2.05,158615000.0
SILEON,-18.549121,22855000.0
SIMRIS-B,-0.087496,2530000.0
SINCH,-7.63,28544000000.0
SINT,5.050000000000001,130600000.0
SIVE,-0.5399999999999999,286300000.0
SKA-B,15.01,184662000000.0
SKF-A,11.79,95549000000.0
SKF-B,11.79,95549000000.0
SKIS-B,10.4,4744489000.0
SKMO,1.34,258400000.0
SKOLON,-0.1699999999999999,153911000.0
SLEEP,3.2,257509000.0
SLP-B,2.4,864000000.0
SNM,0.03,135444000.0
SNX,0.8289160000000001,470316000.0
SOBI,12.74,26970000000.0
SODER,0.8200000000000001,236200000.0
SOF-B,1.54,869600000.0
SOLT,-2.21,2338937000.0
SOZAP,-0.52,16490000.0
SPAGO,-0.1,1899000.0
SPEC,-0.102079,0.0
SPEONE,0.18,8172000.0
SPRINT,-0.285192,61879000.0
SSAB-A,4.5200000000000005,99142000000.0
SSAB-B,4.5200000000000005,99142000000.0
STABL,-0.27,0.0
STAR-A,-0.14,196914000.0
STAR-B,-0.14,196914000.0
STE-A,-0.15,9371000000.0
STE-R,-0.15,9371000000.0
STEF-B,7.59,967000000.0
STIL,5.8100000000000005,541650000.0
STOR-B,0.5800000000000001,32974000000.0
STORY-B,3.25,3892759000.0
STUDBO,0.3548509999999999,466034000.0
STW,-2.67,0.0
STWK,-1.48,850200000.0
SUS,2.76,946534000.0
SVEAF,-2.1,1437000000.0
SVED-B,3.43,2216300000.0
SVIK,1.2399999999999998,902800000.0
SVOL-A,0.9000000000000004,-180739000.0
SVOL-B,0.9000000000000004,-180739000.0
SWEC-A,5.87,30779000000.0
SWEC-B,5.87,30779000000.0
SWED-A,30.17,71287000000.0
SYNACT,-1.911247,0.0
SYNSAM,2.6899999999999995,6621000000.0
SYSR,3.27,12301400000.0
TAGM-B,0.4099999999999999,450746000.0
TALK,0.15,16010002.0
TEL2-A,5.99,29581000000.0
TEL2-B,5.99,29581000000.0
TELIA,1.09,85295000000.0
TELLUS,-0.6799999999999999,463319000.0
TENEO,-0.3,92300000.0
TEQ,6.7,1666300000.0
TERNOR,-0.01235,1457276000.0
TERRNT-B,-0.039108,0.0
TESSIN,-0.1144179999999999,22563000.0
TFBANK,30.76,2640774000.0
THULE,9.7,10087000000.0
THUNDR,-9.76,296800000.0
TIETOS,-2.06,2287600000.0
TINGS-A,1.84,157056000.0
TINGS-B,1.84,157056000.0
TITA-B,8.1,75195000.0
TOBII,0.0899999999999999,977000000.0
TOL,-0.05,0.0
TOURN,-1.64,67555365.0
TRAC-B,15.81,248900000.0
TRAD,0.16,2172591000.0
TRAIN-B,0.43,267588000.0
TRANS,0.4,2649332000.0
TREL-B,15.64,34642000000.0
TRIAN-B,1.34,796200000.0
TRIBO-B,-0.050158,127362000.0
TROAX,0.4,272700000.0
TRUE-B,1.4200000000000002,1973398000.0
TSEC,-5.38,512761000.0
UPSALE,1.06,145612000.0
USWE,-1.72,139246000.0
UTG,1.57,867620000.0
VBG-B,17.560000000000002,5263200000.0
VEFAB,-0.0599999999999999,9916000.0
VER,0.16,463575000.0
VERT-B,0.5399999999999999,623537000.0
VESTUM,-0.31,4340000000.0
VH,0.3200000000000003,14212000.0
VICO,-1.906486,5995000.0
VIMAB,-4.0,311583000.0
VIMIAN,0.04593,404346000.0
VISC,-0.53,0.0
VIT-B,10.01,3531729000.0
VITR,3.36,3539000000.0
VIVA,1.7199999999999998,4201000000.0
VIVE,-0.08,0.0
VNV,-0.02,3363000.0
VO2,-1.22,327814000.0
VOLCAR-B,0.1199999999999998,381342000000.0
VOLO,2.77,8242000000.0
VOLO-PREF,2.77,8242000000.0
VOLV-A,18.71,500079000000.0
VOLV-B,18.71,500079000000.0
VPLAY-A,-0.12,17936000000.0
VPLAY-B,-0.12,17936000000.0
VSSAB-B,-1.5000000000000009,732000000.0
VUXEN,0.578928,213322000.0
W5,-1.96,393698000.0
WALL-B,1.5,3141000000.0
WAYS,-0.7500000000000001,117359000.0
WBGR-B,-7.103924999999999,5298000000.0
WIHL,6.15,4244000000.0
WISE,-3.06,591372000.0
WPAY,-0.057,69271000.0
WPTG-B,1.626147,402768677.0
WRV,-17.32,1698000.0
WTW-A,-1.5999999999999996,891100000.0
WYLD,-0.456767,5159000.0
XANO-B,2.49,3367000000.0
XBRANE,-0.1,277948000.0
XINT,-0.07,4056000.0
XMR,-0.0846099999999999,16292000.0
XPC,-0.0584,336033.0
XSPRAY,-7.53162,0.0
XVIVO,3.54,822927000.0
YIELD,-0.41,146048000.0
YUBICO,2.94,2335100000.0
ZAPLOX,-0.5,19824000.0
ZZ-B,5.510000000000001,2475797000.0
