Ticker,Metric,Values
INDU-C,ROE_ttm,0.07936882626380011
INDU-C,ROIC_ttm,
INDU-C,Soliditet_ttm,0.9605581395348837
INDU-C,Skuldsättningsgrad_ttm,
INDU-C,Bruttomarginal_ttm,
INDU-C,Rörelsemarginal_ttm,
INDU-C,Vinstmarginal_ttm,0.996277161525604
INDU-C,PE_tal_ttm,12.318077049720118
INDU-C,PB_tal_ttm,0.4412005193201627
INDU-C,EV_EBITDA_ttm,
INDU-C,Rörelseflödesmarginal_ttm,
INDU-C,Kassaflöde_till_Skuld_ttm,
INVE-A,ROE_ttm,0.02781574110229621
INVE-A,ROIC_ttm,
INVE-A,Soliditet_ttm,0.8525102606676437
INVE-A,Skuldsättningsgrad_ttm,0.13116553490985627
INVE-A,Bruttomarginal_ttm,
INVE-A,Rörelsemarginal_ttm,
INVE-A,Vinstmarginal_ttm,0.2952810635931655
INVE-A,PE_tal_ttm,38.51900393184797
INVE-A,PB_tal_ttm,0.4362217082905551
INVE-A,EV_EBITDA_ttm,
INVE-A,Rörelseflödesmarginal_ttm,
INVE-A,Kassaflöde_till_Skuld_ttm,
INVE-B,ROE_ttm,0.02781574110229621
INVE-B,ROIC_ttm,
INVE-B,Soliditet_ttm,0.8525102606676437
INVE-B,Skuldsättningsgrad_ttm,0.13116553490985627
INVE-B,Bruttomarginal_ttm,
INVE-B,Rörelsemarginal_ttm,
INVE-B,Vinstmarginal_ttm,0.2952810635931655
INVE-B,PE_tal_ttm,38.48623853211009
INVE-B,PB_tal_ttm,0.6348808367241593
INVE-B,EV_EBITDA_ttm,
INVE-B,Rörelseflödesmarginal_ttm,
INVE-B,Kassaflöde_till_Skuld_ttm,
KINV-A,ROE_ttm,-0.06874813184424336
KINV-A,ROIC_ttm,
KINV-A,Soliditet_ttm,0.9184177689044173
KINV-A,Skuldsättningsgrad_ttm,0.055922393413222464
KINV-A,Bruttomarginal_ttm,
KINV-A,Rörelsemarginal_ttm,
KINV-A,Vinstmarginal_ttm,1.001980198019802
KINV-A,PE_tal_ttm,-10.14223194748359
KINV-A,PB_tal_ttm,0.08502827586206897
KINV-A,EV_EBITDA_ttm,
KINV-A,Rörelseflödesmarginal_ttm,0.11247524752475248
KINV-A,Kassaflöde_till_Skuld_ttm,-0.1379980563654033
KINV-B,ROE_ttm,-0.06874813184424336
KINV-B,ROIC_ttm,
KINV-B,Soliditet_ttm,0.9184177689044173
KINV-B,Skuldsättningsgrad_ttm,0.055922393413222464
KINV-B,Bruttomarginal_ttm,
KINV-B,Rörelsemarginal_ttm,
KINV-B,Vinstmarginal_ttm,1.001980198019802
KINV-B,PE_tal_ttm,-9.36980306345733
KINV-B,PB_tal_ttm,0.5659928587505775
KINV-B,EV_EBITDA_ttm,
KINV-B,Rörelseflödesmarginal_ttm,0.11247524752475248
KINV-B,Kassaflöde_till_Skuld_ttm,-0.1379980563654033
LATO-B,ROE_ttm,0.11580545647353707
LATO-B,ROIC_ttm,0.09411052126535346
LATO-B,Soliditet_ttm,0.5982639790062577
LATO-B,Skuldsättningsgrad_ttm,0.47898390051094186
LATO-B,Bruttomarginal_ttm,0.39324810814782163
LATO-B,Rörelsemarginal_ttm,0.11920505473514069
LATO-B,Vinstmarginal_ttm,0.17651164499302036
LATO-B,PE_tal_ttm,32.53989361702128
LATO-B,PB_tal_ttm,3.4897525443362576
LATO-B,EV_EBITDA_ttm,24.575051046363225
LATO-B,Rörelseflödesmarginal_ttm,0.12849900815516863
LATO-B,Kassaflöde_till_Skuld_ttm,0.17600885579148637
LUND-B,ROE_ttm,0.04385131956028915
LUND-B,ROIC_ttm,
LUND-B,Soliditet_ttm,0.5075638498345679
LUND-B,Skuldsättningsgrad_ttm,
LUND-B,Bruttomarginal_ttm,
LUND-B,Rörelsemarginal_ttm,0.25683300111490254
LUND-B,Vinstmarginal_ttm,0.173181526402919
LUND-B,PE_tal_ttm,23.35589941972921
