Metric,Date,Value,Ticker,Segment,CAGR_Dimension
Total Revenue,2021-12-31,1238000000.0,NP3-PREF,income_statement,Total Revenue
Total Revenue,2022-12-31,1551000000.0,NP3-PREF,income_statement,Total Revenue
Total Revenue,2023-12-31,1797000000.0,NP3-PREF,income_statement,Total Revenue
Total Revenue,2024-12-31,1992000000.0,NP3-PREF,income_statement,Total Revenue
Total Revenue,2021-12-31,2457000000.0,NYF,income_statement,Total Revenue
Total Revenue,2022-12-31,3150000000.0,NYF,income_statement,Total Revenue
Total Revenue,2023-12-31,3553000000.0,NYF,income_statement,Total Revenue
Total Revenue,2024-12-31,3669000000.0,NYF,income_statement,Total Revenue
Basic EPS,2021-12-31,16.52,NYF,income_statement,Basic EPS
Basic EPS,2022-12-31,8.62,NYF,income_statement,Basic EPS
Basic EPS,2023-12-31,-3.67,NYF,income_statement,Basic EPS
Basic EPS,2024-12-31,0.28,NYF,income_statement,Basic EPS
Total Revenue,2021-12-31,3273000000.0,PNDX-B,income_statement,Total Revenue
Total Revenue,2022-12-31,5654000000.0,PNDX-B,income_statement,Total Revenue
Total Revenue,2023-12-31,6849000000.0,PNDX-B,income_statement,Total Revenue
Total Revenue,2024-12-31,7136000000.0,PNDX-B,income_statement,Total Revenue
Basic EPS,2021-12-31,3.32,PNDX-B,income_statement,Basic EPS
Basic EPS,2022-12-31,22.94,PNDX-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-3.18,PNDX-B,income_statement,Basic EPS
Basic EPS,2024-12-31,9.04,PNDX-B,income_statement,Basic EPS
Total Revenue,2021-12-31,3123000000.0,SAGA-A,income_statement,Total Revenue
Total Revenue,2022-12-31,3727000000.0,SAGA-A,income_statement,Total Revenue
Total Revenue,2023-12-31,4318000000.0,SAGA-A,income_statement,Total Revenue
Total Revenue,2024-12-31,5063000000.0,SAGA-A,income_statement,Total Revenue
Basic EPS,2021-12-31,30.09,SAGA-A,income_statement,Basic EPS
Basic EPS,2022-12-31,7.76,SAGA-A,income_statement,Basic EPS
Basic EPS,2023-12-31,-0.82,SAGA-A,income_statement,Basic EPS
Basic EPS,2024-12-31,14.78,SAGA-A,income_statement,Basic EPS
Total Revenue,2021-12-31,3123000000.0,SAGA-B,income_statement,Total Revenue
Total Revenue,2022-12-31,3727000000.0,SAGA-B,income_statement,Total Revenue
Total Revenue,2023-12-31,4318000000.0,SAGA-B,income_statement,Total Revenue
Total Revenue,2024-12-31,5063000000.0,SAGA-B,income_statement,Total Revenue
Basic EPS,2021-12-31,30.09,SAGA-B,income_statement,Basic EPS
Basic EPS,2022-12-31,7.76,SAGA-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-0.82,SAGA-B,income_statement,Basic EPS
Basic EPS,2024-12-31,14.78,SAGA-B,income_statement,Basic EPS
Total Revenue,2021-12-31,3123000000.0,SAGA-D,income_statement,Total Revenue
Total Revenue,2022-12-31,3727000000.0,SAGA-D,income_statement,Total Revenue
Total Revenue,2023-12-31,4318000000.0,SAGA-D,income_statement,Total Revenue
Total Revenue,2024-12-31,5063000000.0,SAGA-D,income_statement,Total Revenue
Basic EPS,2021-12-31,30.09,SAGA-D,income_statement,Basic EPS
Basic EPS,2022-12-31,7.76,SAGA-D,income_statement,Basic EPS
Basic EPS,2023-12-31,-0.82,SAGA-D,income_statement,Basic EPS
Basic EPS,2024-12-31,14.78,SAGA-D,income_statement,Basic EPS
Total Revenue,2021-12-31,2324000000.0,WALL-B,income_statement,Total Revenue
Total Revenue,2022-12-31,2490000000.0,WALL-B,income_statement,Total Revenue
Total Revenue,2023-12-31,3336000000.0,WALL-B,income_statement,Total Revenue
Total Revenue,2024-12-31,3169000000.0,WALL-B,income_statement,Total Revenue
Basic EPS,2021-12-31,7.2,WALL-B,income_statement,Basic EPS
Basic EPS,2022-12-31,1.7,WALL-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-0.7,WALL-B,income_statement,Basic EPS
Basic EPS,2024-12-31,1.2,WALL-B,income_statement,Basic EPS
Total Revenue,2021-12-31,3061000000.0,WIHL,income_statement,Total Revenue
Total Revenue,2022-12-31,3335000000.0,WIHL,income_statement,Total Revenue
Total Revenue,2023-12-31,3881000000.0,WIHL,income_statement,Total Revenue
Total Revenue,2024-12-31,4174000000.0,WIHL,income_statement,Total Revenue
Basic EPS,2021-12-31,10.89,WIHL,income_statement,Basic EPS
Basic EPS,2022-12-31,7.44,WIHL,income_statement,Basic EPS
Basic EPS,2023-12-31,-0.09,WIHL,income_statement,Basic EPS
Basic EPS,2024-12-31,5.55,WIHL,income_statement,Basic EPS
Total Revenue,2021-12-31,201000000.0,BURE,income_statement,Total Revenue
Total Revenue,2022-12-31,227000000.0,BURE,income_statement,Total Revenue
Total Revenue,2023-12-31,221000000.0,BURE,income_statement,Total Revenue
Total Revenue,2024-12-31,241000000.0,BURE,income_statement,Total Revenue
Basic EPS,2021-12-31,85.67,BURE,income_statement,Basic EPS
Basic EPS,2022-12-31,-124.66,BURE,income_statement,Basic EPS
Basic EPS,2023-12-31,64.0,BURE,income_statement,Basic EPS
Basic EPS,2024-12-31,77.44,BURE,income_statement,Basic EPS
Total Revenue,2021-12-31,1596000000.0,EQT,income_statement,Total Revenue
Total Revenue,2022-12-31,1497300000.0,EQT,income_statement,Total Revenue
Total Revenue,2023-12-31,2122000000.0,EQT,income_statement,Total Revenue
Total Revenue,2024-12-31,2653000000.0,EQT,income_statement,Total Revenue
Basic EPS,2021-12-31,0.929,EQT,income_statement,Basic EPS
Basic EPS,2022-12-31,0.171,EQT,income_statement,Basic EPS
Basic EPS,2023-12-31,0.142,EQT,income_statement,Basic EPS
Basic EPS,2024-12-31,0.0,EQT,income_statement,Basic EPS
Total Revenue,2021-12-31,26687000000.0,INDU-A,income_statement,Total Revenue
Total Revenue,2022-12-31,-13964000000.0,INDU-A,income_statement,Total Revenue
Total Revenue,2023-12-31,27000000000.0,INDU-A,income_statement,Total Revenue
Total Revenue,2024-12-31,12735000000.0,INDU-A,income_statement,Total Revenue
Basic EPS,2021-12-31,61.57,INDU-A,income_statement,Basic EPS
Basic EPS,2022-12-31,-32.34,INDU-A,income_statement,Basic EPS
Basic EPS,2023-12-31,62.15,INDU-A,income_statement,Basic EPS
Basic EPS,2024-12-31,29.3,INDU-A,income_statement,Basic EPS
Total Revenue,2021-12-31,26687000000.0,INDU-C,income_statement,Total Revenue
Total Revenue,2022-12-31,-13964000000.0,INDU-C,income_statement,Total Revenue
Total Revenue,2023-12-31,27000000000.0,INDU-C,income_statement,Total Revenue
Total Revenue,2024-12-31,12735000000.0,INDU-C,income_statement,Total Revenue
Basic EPS,2021-12-31,61.57,INDU-C,income_statement,Basic EPS
Basic EPS,2022-12-31,-32.34,INDU-C,income_statement,Basic EPS
Basic EPS,2023-12-31,62.15,INDU-C,income_statement,Basic EPS
Basic EPS,2024-12-31,29.3,INDU-C,income_statement,Basic EPS
Total Revenue,2021-12-31,264794000000.0,INVE-A,income_statement,Total Revenue
Total Revenue,2022-12-31,-27305000000.0,INVE-A,income_statement,Total Revenue
Total Revenue,2023-12-31,180485000000.0,INVE-A,income_statement,Total Revenue
Total Revenue,2024-12-31,168909000000.0,INVE-A,income_statement,Total Revenue
Basic EPS,2021-12-31,74.45,INVE-A,income_statement,Basic EPS
Basic EPS,2022-12-31,-24.38,INVE-A,income_statement,Basic EPS
Basic EPS,2023-12-31,41.48,INVE-A,income_statement,Basic EPS
Basic EPS,2024-12-31,37.0,INVE-A,income_statement,Basic EPS
Total Revenue,2021-12-31,264794000000.0,INVE-B,income_statement,Total Revenue
Total Revenue,2022-12-31,-27305000000.0,INVE-B,income_statement,Total Revenue
Total Revenue,2023-12-31,180485000000.0,INVE-B,income_statement,Total Revenue
Total Revenue,2024-12-31,168909000000.0,INVE-B,income_statement,Total Revenue
Basic EPS,2021-12-31,74.45,INVE-B,income_statement,Basic EPS
Basic EPS,2022-12-31,-24.38,INVE-B,income_statement,Basic EPS
Basic EPS,2023-12-31,41.48,INVE-B,income_statement,Basic EPS
Basic EPS,2024-12-31,37.0,INVE-B,income_statement,Basic EPS
Total Revenue,2021-12-31,14796000000.0,KINV-A,income_statement,Total Revenue
Total Revenue,2022-12-31,-19504000000.0,KINV-A,income_statement,Total Revenue
Total Revenue,2023-12-31,-4718000000.0,KINV-A,income_statement,Total Revenue
Total Revenue,2024-12-31,-2599000000.0,KINV-A,income_statement,Total Revenue
Basic EPS,2021-12-31,53.12,KINV-A,income_statement,Basic EPS
Basic EPS,2022-12-31,-69.83,KINV-A,income_statement,Basic EPS
Basic EPS,2023-12-31,-17.22,KINV-A,income_statement,Basic EPS
Basic EPS,2024-12-31,-9.47,KINV-A,income_statement,Basic EPS
Total Revenue,2021-12-31,14796000000.0,KINV-B,income_statement,Total Revenue
Total Revenue,2022-12-31,-19504000000.0,KINV-B,income_statement,Total Revenue
Total Revenue,2023-12-31,-4718000000.0,KINV-B,income_statement,Total Revenue
Total Revenue,2024-12-31,-2599000000.0,KINV-B,income_statement,Total Revenue
Basic EPS,2021-12-31,53.12,KINV-B,income_statement,Basic EPS
Basic EPS,2022-12-31,-69.83,KINV-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-17.22,KINV-B,income_statement,Basic EPS
Basic EPS,2024-12-31,-9.47,KINV-B,income_statement,Basic EPS
Total Revenue,2021-12-31,18567000000.0,LATO-B,income_statement,Total Revenue
Total Revenue,2022-12-31,22611000000.0,LATO-B,income_statement,Total Revenue
Total Revenue,2023-12-31,25550000000.0,LATO-B,income_statement,Total Revenue
Total Revenue,2024-12-31,25886000000.0,LATO-B,income_statement,Total Revenue
Basic EPS,2021-12-31,6.85,LATO-B,income_statement,Basic EPS
Basic EPS,2022-12-31,6.51,LATO-B,income_statement,Basic EPS
Basic EPS,2023-12-31,9.22,LATO-B,income_statement,Basic EPS
Basic EPS,2024-12-31,0.0,LATO-B,income_statement,Basic EPS
Total Revenue,2021-12-31,26200000000.0,LUND-B,income_statement,Total Revenue
Total Revenue,2022-12-31,31414000000.0,LUND-B,income_statement,Total Revenue
Total Revenue,2023-12-31,30640000000.0,LUND-B,income_statement,Total Revenue
Total Revenue,2024-12-31,31369000000.0,LUND-B,income_statement,Total Revenue
Basic EPS,2021-12-31,45.84,LUND-B,income_statement,Basic EPS
Basic EPS,2022-12-31,6.1,LUND-B,income_statement,Basic EPS
Basic EPS,2023-12-31,29.25,LUND-B,income_statement,Basic EPS
Basic EPS,2024-12-31,25.41,LUND-B,income_statement,Basic EPS
Total Revenue,2021-12-31,3523300000.0,SAVE,income_statement,Total Revenue
Total Revenue,2022-12-31,3362900000.0,SAVE,income_statement,Total Revenue
Total Revenue,2023-12-31,4582100000.0,SAVE,income_statement,Total Revenue
Total Revenue,2024-12-31,5165100000.0,SAVE,income_statement,Total Revenue
Basic EPS,2021-12-31,7.79,SAVE,income_statement,Basic EPS
Basic EPS,2022-12-31,6.35,SAVE,income_statement,Basic EPS
Basic EPS,2023-12-31,9.83,SAVE,income_statement,Basic EPS
Basic EPS,2024-12-31,10.86,SAVE,income_statement,Basic EPS
Total Revenue,2022-12-31,4316000000.0,ROKO-B,income_statement,Total Revenue
Total Revenue,2023-12-31,5614000000.0,ROKO-B,income_statement,Total Revenue
Total Revenue,2024-12-31,6182000000.0,ROKO-B,income_statement,Total Revenue
Basic EPS,2022-12-31,26.394953,ROKO-B,income_statement,Basic EPS
