Rank,Values,Ticker
EV_EBITDA_latest_ratioRank,50.0,SEB-C
EV_EBITDA_trend_ratioRank,50.0,SEB-C
Rörelseflödesmarginal_latest_ratioRank,18.39160839160839,SEB-C
Rörelseflödesmarginal_trend_ratioRank,5.2521008403361344,SEB-C
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,SEB-C
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,SEB-C
Kassaflode_till_Skuld_latest_ratioRank,23.54368932038835,SEB-C
Kassaflode_till_Skuld_trend_ratioRank,24.230145867098866,SEB-C
ROE_latest_ratioRank,79.84293193717278,SWED-A
ROE_trend_ratioRank,72.870249017038,SWED-A
ROIC_latest_ratioRank,50.0,SWED-A
ROIC_trend_ratioRank,50.0,SWED-A
Soliditet_latest_ratioRank,6.020942408376963,SWED-A
Soliditet_trend_ratioRank,63.826998689384006,SWED-A
Skuldsättningsgrad_latest_ratioRank,2.403846153846154,SWED-A
Skuldsättningsgrad_trend_ratioRank,93.09791332263242,SWED-A
Räntetäckningsgrad_latest_ratioRank,50.0,SWED-A
Räntetäckningsgrad_trend_ratioRank,50.0,SWED-A
Bruttomarginal_latest_ratioRank,50.0,SWED-A
Bruttomarginal_trend_ratioRank,50.0,SWED-A
Rörelsemarginal_latest_ratioRank,50.0,SWED-A
Rörelsemarginal_trend_ratioRank,50.0,SWED-A
Vinstmarginal_latest_ratioRank,94.59084604715673,SWED-A
Vinstmarginal_trend_ratioRank,72.36111111111111,SWED-A
PE_tal_latest_ratioRank,50.0,SWED-A
PE_tal_trend_ratioRank,50.0,SWED-A
PB_tal_latest_ratioRank,50.0,SWED-A
PB_tal_trend_ratioRank,50.0,SWED-A
EV_EBITDA_latest_ratioRank,50.0,SWED-A
EV_EBITDA_trend_ratioRank,50.0,SWED-A
Rörelseflödesmarginal_latest_ratioRank,99.02097902097901,SWED-A
Rörelseflödesmarginal_trend_ratioRank,10.504201680672269,SWED-A
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,SWED-A
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,SWED-A
Kassaflode_till_Skuld_latest_ratioRank,38.83495145631068,SWED-A
Kassaflode_till_Skuld_trend_ratioRank,33.873581847649916,SWED-A
ROE_latest_ratioRank,82.19895287958116,AAK
ROE_trend_ratioRank,76.53997378768021,AAK
ROIC_latest_ratioRank,88.18011257035647,AAK
ROIC_trend_ratioRank,85.55347091932458,AAK
Soliditet_latest_ratioRank,61.12565445026178,AAK
Soliditet_trend_ratioRank,92.66055045871559,AAK
Skuldsättningsgrad_latest_ratioRank,67.1474358974359,AAK
Skuldsättningsgrad_trend_ratioRank,81.70144462279293,AAK
Räntetäckningsgrad_latest_ratioRank,87.64880952380952,AAK
Räntetäckningsgrad_trend_ratioRank,62.14605067064084,AAK
Bruttomarginal_latest_ratioRank,25.0,AAK
Bruttomarginal_trend_ratioRank,80.3921568627451,AAK
Rörelsemarginal_latest_ratioRank,69.76744186046511,AAK
Rörelsemarginal_trend_ratioRank,68.5589519650655,AAK
Vinstmarginal_latest_ratioRank,71.56726768377254,AAK
Vinstmarginal_trend_ratioRank,72.5,AAK
PE_tal_latest_ratioRank,50.0,AAK
PE_tal_trend_ratioRank,50.0,AAK
PB_tal_latest_ratioRank,50.0,AAK
PB_tal_trend_ratioRank,50.0,AAK
EV_EBITDA_latest_ratioRank,50.0,AAK
EV_EBITDA_trend_ratioRank,50.0,AAK
Rörelseflödesmarginal_latest_ratioRank,40.55944055944056,AAK
Rörelseflödesmarginal_trend_ratioRank,64.84593837535014,AAK
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,AAK
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,AAK
Kassaflode_till_Skuld_latest_ratioRank,77.50809061488673,AAK
Kassaflode_till_Skuld_trend_ratioRank,75.68881685575364,AAK
ROE_latest_ratioRank,90.83769633507853,AXFO
ROE_trend_ratioRank,41.02228047182175,AXFO
ROIC_latest_ratioRank,79.36210131332082,AXFO
ROIC_trend_ratioRank,44.46529080675422,AXFO
Soliditet_latest_ratioRank,10.209424083769633,AXFO
Soliditet_trend_ratioRank,51.76933158584534,AXFO
Skuldsättningsgrad_latest_ratioRank,5.769230769230769,AXFO
Skuldsättningsgrad_trend_ratioRank,10.43338683788122,AXFO
Räntetäckningsgrad_latest_ratioRank,76.78571428571429,AXFO
Räntetäckningsgrad_trend_ratioRank,31.594634873323397,AXFO
Bruttomarginal_latest_ratioRank,11.897590361445783,AXFO
Bruttomarginal_trend_ratioRank,39.21568627450981,AXFO
Rörelsemarginal_latest_ratioRank,48.401162790697676,AXFO
Rörelsemarginal_trend_ratioRank,45.70596797671033,AXFO
Vinstmarginal_latest_ratioRank,53.398058252427184,AXFO
Vinstmarginal_trend_ratioRank,55.00000000000001,AXFO
PE_tal_latest_ratioRank,50.0,AXFO
PE_tal_trend_ratioRank,50.0,AXFO
PB_tal_latest_ratioRank,50.0,AXFO
PB_tal_trend_ratioRank,50.0,AXFO
EV_EBITDA_latest_ratioRank,50.0,AXFO
EV_EBITDA_trend_ratioRank,50.0,AXFO
Rörelseflödesmarginal_latest_ratioRank,44.61538461538462,AXFO
Rörelseflödesmarginal_trend_ratioRank,35.85434173669468,AXFO
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,AXFO
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,AXFO
Kassaflode_till_Skuld_latest_ratioRank,63.915857605178,AXFO
Kassaflode_till_Skuld_trend_ratioRank,22.366288492706644,AXFO
ROE_latest_ratioRank,86.32198952879581,ESSITY-A
ROE_trend_ratioRank,79.61992136304062,ESSITY-A
ROIC_latest_ratioRank,77.57973733583489,ESSITY-A
ROIC_trend_ratioRank,79.8311444652908,ESSITY-A
Soliditet_latest_ratioRank,45.22251308900523,ESSITY-A
Soliditet_trend_ratioRank,89.05635648754915,ESSITY-A
Skuldsättningsgrad_latest_ratioRank,45.2724358974359,ESSITY-A
Skuldsättningsgrad_trend_ratioRank,88.20224719101124,ESSITY-A
Räntetäckningsgrad_latest_ratioRank,77.15773809523809,ESSITY-A
Räntetäckningsgrad_trend_ratioRank,44.783904619970194,ESSITY-A
Bruttomarginal_latest_ratioRank,29.14156626506024,ESSITY-A
Bruttomarginal_trend_ratioRank,74.28355957767722,ESSITY-A
Rörelsemarginal_latest_ratioRank,73.18313953488372,ESSITY-A
Rörelsemarginal_trend_ratioRank,65.28384279475983,ESSITY-A
Vinstmarginal_latest_ratioRank,81.34535367545077,ESSITY-A
Vinstmarginal_trend_ratioRank,73.68055555555556,ESSITY-A
PE_tal_latest_ratioRank,50.0,ESSITY-A
PE_tal_trend_ratioRank,50.0,ESSITY-A
PB_tal_latest_ratioRank,50.0,ESSITY-A
PB_tal_trend_ratioRank,50.0,ESSITY-A
EV_EBITDA_latest_ratioRank,50.0,ESSITY-A
EV_EBITDA_trend_ratioRank,50.0,ESSITY-A
Rörelseflödesmarginal_latest_ratioRank,60.48951048951049,ESSITY-A
Rörelseflödesmarginal_trend_ratioRank,37.745098039215684,ESSITY-A
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,ESSITY-A
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,ESSITY-A
Kassaflode_till_Skuld_latest_ratioRank,66.10032362459548,ESSITY-A
Kassaflode_till_Skuld_trend_ratioRank,57.617504051863854,ESSITY-A
ROE_latest_ratioRank,86.32198952879581,ESSITY-B
ROE_trend_ratioRank,79.61992136304062,ESSITY-B
ROIC_latest_ratioRank,77.57973733583489,ESSITY-B
ROIC_trend_ratioRank,79.8311444652908,ESSITY-B
Soliditet_latest_ratioRank,45.22251308900523,ESSITY-B
Soliditet_trend_ratioRank,89.05635648754915,ESSITY-B
Skuldsättningsgrad_latest_ratioRank,45.2724358974359,ESSITY-B
Skuldsättningsgrad_trend_ratioRank,88.20224719101124,ESSITY-B
Räntetäckningsgrad_latest_ratioRank,77.15773809523809,ESSITY-B
Räntetäckningsgrad_trend_ratioRank,44.783904619970194,ESSITY-B
Bruttomarginal_latest_ratioRank,29.14156626506024,ESSITY-B
Bruttomarginal_trend_ratioRank,74.28355957767722,ESSITY-B
Rörelsemarginal_latest_ratioRank,73.18313953488372,ESSITY-B
Rörelsemarginal_trend_ratioRank,65.28384279475983,ESSITY-B
Vinstmarginal_latest_ratioRank,81.34535367545077,ESSITY-B
Vinstmarginal_trend_ratioRank,73.68055555555556,ESSITY-B
PE_tal_latest_ratioRank,50.0,ESSITY-B
PE_tal_trend_ratioRank,50.0,ESSITY-B
PB_tal_latest_ratioRank,50.0,ESSITY-B
PB_tal_trend_ratioRank,50.0,ESSITY-B
EV_EBITDA_latest_ratioRank,50.0,ESSITY-B
EV_EBITDA_trend_ratioRank,50.0,ESSITY-B
Rörelseflödesmarginal_latest_ratioRank,60.48951048951049,ESSITY-B
Rörelseflödesmarginal_trend_ratioRank,37.745098039215684,ESSITY-B
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,ESSITY-B
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,ESSITY-B
Kassaflode_till_Skuld_latest_ratioRank,66.10032362459548,ESSITY-B
Kassaflode_till_Skuld_trend_ratioRank,57.617504051863854,ESSITY-B
ROE_latest_ratioRank,68.97905759162303,IPCO
ROE_trend_ratioRank,41.15334207077326,IPCO
ROIC_latest_ratioRank,71.85741088180112,IPCO
ROIC_trend_ratioRank,24.953095684803,IPCO
Soliditet_latest_ratioRank,46.07329842931937,IPCO
Soliditet_trend_ratioRank,16.25163826998689,IPCO
Skuldsättningsgrad_latest_ratioRank,46.955128205128204,IPCO
Skuldsättningsgrad_trend_ratioRank,16.051364365971107,IPCO
Räntetäckningsgrad_latest_ratioRank,67.85714285714286,IPCO
Räntetäckningsgrad_trend_ratioRank,35.46944858420268,IPCO
Bruttomarginal_latest_ratioRank,19.427710843373493,IPCO
Bruttomarginal_trend_ratioRank,16.440422322775262,IPCO
Rörelsemarginal_latest_ratioRank,82.70348837209302,IPCO
Rörelsemarginal_trend_ratioRank,19.7962154294032,IPCO
Vinstmarginal_latest_ratioRank,76.69902912621359,IPCO
Vinstmarginal_trend_ratioRank,31.38888888888889,IPCO
PE_tal_latest_ratioRank,50.0,IPCO
PE_tal_trend_ratioRank,50.0,IPCO
PB_tal_latest_ratioRank,50.0,IPCO
PB_tal_trend_ratioRank,50.0,IPCO
EV_EBITDA_latest_ratioRank,50.0,IPCO
EV_EBITDA_trend_ratioRank,50.0,IPCO
Rörelseflödesmarginal_latest_ratioRank,88.25174825174825,IPCO
Rörelseflödesmarginal_trend_ratioRank,19.047619047619047,IPCO
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,IPCO
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,IPCO
Kassaflode_till_Skuld_latest_ratioRank,74.59546925566343,IPCO
Kassaflode_till_Skuld_trend_ratioRank,10.85899513776337,IPCO
ROE_latest_ratioRank,51.178010471204196,ATRLJ-B
ROE_trend_ratioRank,35.12450851900393,ATRLJ-B
ROIC_latest_ratioRank,37.89868667917448,ATRLJ-B
ROIC_trend_ratioRank,34.146341463414636,ATRLJ-B
Soliditet_latest_ratioRank,40.44502617801047,ATRLJ-B
Soliditet_trend_ratioRank,46.92005242463958,ATRLJ-B
Skuldsättningsgrad_latest_ratioRank,24.519230769230766,ATRLJ-B
Skuldsättningsgrad_trend_ratioRank,37.23916532905297,ATRLJ-B
Räntetäckningsgrad_latest_ratioRank,57.291666666666664,ATRLJ-B
Räntetäckningsgrad_trend_ratioRank,27.86885245901639,ATRLJ-B
Bruttomarginal_latest_ratioRank,63.55421686746988,ATRLJ-B
Bruttomarginal_trend_ratioRank,79.48717948717949,ATRLJ-B
Rörelsemarginal_latest_ratioRank,92.00581395348837,ATRLJ-B
Rörelsemarginal_trend_ratioRank,72.0524017467249,ATRLJ-B
Vinstmarginal_latest_ratioRank,87.93342579750347,ATRLJ-B
Vinstmarginal_trend_ratioRank,12.777777777777777,ATRLJ-B
PE_tal_latest_ratioRank,50.0,ATRLJ-B
PE_tal_trend_ratioRank,50.0,ATRLJ-B
PB_tal_latest_ratioRank,50.0,ATRLJ-B
PB_tal_trend_ratioRank,50.0,ATRLJ-B
EV_EBITDA_latest_ratioRank,50.0,ATRLJ-B
EV_EBITDA_trend_ratioRank,50.0,ATRLJ-B
Rörelseflödesmarginal_latest_ratioRank,92.3076923076923,ATRLJ-B
Rörelseflödesmarginal_trend_ratioRank,23.949579831932773,ATRLJ-B
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,ATRLJ-B
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,ATRLJ-B
Kassaflode_till_Skuld_latest_ratioRank,35.275080906148865,ATRLJ-B
