Ticker,Year,Value
LATO-B,2011,0.9375
LATO-B,2012,1.5
LATO-B,2013,1.25
LATO-B,2014,1.375
LATO-B,2015,1.5
LATO-B,2016,1.6875
LATO-B,2017,2.0
LATO-B,2018,2.25
LATO-B,2019,2.5
LATO-B,2020,1.25
LATO-B,2021,3.0
LATO-B,2022,3.3
LATO-B,2023,3.7
LATO-B,2024,4.1
LATO-B,2025,4.6
LUND-B,2000,1.1875
LUND-B,2001,1.3125
LUND-B,2002,1.4375
LUND-B,2003,1.5
LUND-B,2004,1.625
LUND-B,2005,1.75
LUND-B,2006,1.9375
LUND-B,2007,2.125
LUND-B,2008,2.25
LUND-B,2009,1.5
LUND-B,2010,1.625
LUND-B,2011,1.875
LUND-B,2012,2.0
LUND-B,2013,2.15
LUND-B,2014,2.3
LUND-B,2015,2.5
LUND-B,2016,2.65
LUND-B,2017,2.8
LUND-B,2018,3.0
LUND-B,2019,3.2
LUND-B,2021,3.5
LUND-B,2022,3.75
LUND-B,2023,4.0
LUND-B,2024,4.3
LUND-B,2025,4.6
SAVE,2021,3.2800000000000002
SAVE,2022,5.56
SAVE,2023,4.6
SAVE,2024,7.2
SAVE,2025,8.1
STOR-B,2022,0.07
STOR-B,2023,0.08
STOR-B,2024,0.09
STOR-B,2025,0.1
SAMPO-SDB,2023,6.04968
SAMPO-SDB,2024,3.953171
SAMPO-SDB,2025,3.72
