Instrument,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,returnOnAssets,priceToBook,forwardPE,dividendYield,longName,sector,longBusinessSummary
ACE,,,0.0,0.0,-1.4095501,-0.41479,7.450166,-37.375004,,Ascelia Pharma AB (publ),Healthcare,"Ascelia Pharma AB (publ), a biotech company, develops identifies, develops, and commercializes novel drugs to treat orphan oncology treatments in Sweden. It develops Orviglance, a novel non-gadolinium diagnostic drug, which is in Phase 3 clinical trial for use in MRI-scans of the liver; and Oncoral, a novel oral irinotecan chemotherapy tablet, that is in Phase 2 clinical trial for the treatment of gastric cancer. The company has a collaboration agreement with the Taiho Oncology Inc. Ascelia Pharma AB (publ) was incorporated in 1999 and is headquartered in Malmö, Sweden."
BOUL,,-0.236,-0.60485,0.45922002,-0.9439,0.07674,1.5129068,5.9646015,,Boule Diagnostics AB (publ),Healthcare,"Boule Diagnostics AB (publ) develops, manufactures, and markets instruments and consumable products for blood diagnostics in the United States of America, Asia, Eastern Europe, Latin America, Western Europe, Africa, and the Middle East. The company provides hematology analyzers, reagents, controls, and calibrators, under the Swelab, Medonic, and Quintus brands; and veterinary hematology and clinical chemistry analyzer systems, as well as reagents and panels under the Exigo brand. It serves small and medium-sized hospitals, clinics, laboratories, and veterinary clinics, and other diagnostics companies. Boule Diagnostics AB (publ) was founded in 1956 and is headquartered in Spånga, Sweden."
CRAD-B,,0.007,0.06864,0.69136,0.10401,0.11128,3.4985719,15.1769905,,C-Rad AB (publ),Healthcare,"C-Rad AB (publ) develops, manufactures, and sells products and systems with applications in radiotherapy for the treatment of cancer in Europe, the Middle East, Africa, the Americas, and the Asia Pacific. The company's products include Sentinel 4DCT, a laser-based optical surface scanning system; Catalyst+ HD, a patient positioning, intra-fraction motion management, and respiratory gating solution for conventional and stereotactic treatment delivery; Catalyst+, a solution for patient set up and intra-fraction breath hold reproducibility; Catalyst+ PT, a surface image guided radiation therapy solution that supports proton therapy from simulation to treatment; and Catalyst+ HD Ring Gantry solution for patient positioning, real-time motion monitoring, and respiratory gating. It provides Catalyst, a 4D surface guided radiation therapy (SGRT) solution; Catalyst HD, a SGRT solution on stereotactic radiation therapy for online patient tracking before and during treatment delivery; Catalyst PT, a tracking solution for particle therapy; and visual coaching solutions used for prospective and retrospective radiotherapy. In addition, the company's products comprise cAutoVerify, an automation solution for the imaging suite and treatment room, automating patient identity validation, and accessory tracking; and cAccessory, which automates the registration and validation of treatment accessories. Further, it offers SmartPhantom RT, a device that allows automatic adjustment and alignment of fixed lasers with motorization; StaticPhantom, a set-up used to visually verify the precision of the alignment of lasers; high impact technology motorized system, a laser positioning system; HIT Single Diode; and HIT5, HIT3, HIT1 patient positioning laser, as well as laser positioning products and solutions. Additionally, the company offers support, service contracts, and training services. C-Rad AB (publ) was incorporated in 2004 and is headquartered in Uppsala, Sweden"
CANTA,,,0.0,0.0,-1.6929,-0.74417,9.50178,-2.8404257,,Cantargia AB (publ),Healthcare,"Cantargia AB (publ), a biotechnology company, develops pharmaceuticals for treatment of cancer, inflammatory, and autoimmune diseases. The company is developing CAN04 (nadunolimab), an antibody that can bind IL1RAP, which is in phase II clinical trial for the treatment of pancreatic cancer, non-small cell lung cancer, and triple-negative breast cancer; and CAN10, an antibody against IL1RAP, which is in phase 1 clinical trial for the treatment of autoimmune and inflammatory diseases, including systemic sclerosis and myocarditis. It also develops CANxx, an IL1RAP-based antibody platform. The company has collaboration agreements with Patheon Biologics B.V. and BioWa Inc. for the manufacture and production of CAN04; and GEICAM, Spanish breast cancer group. Cantargia AB (publ) was incorporated in 2009 and is based in Lund, Sweden."
CARA,,0.289,-0.118549995,0.84628,-0.0382,-0.0207,2.3617737,44.87837,,Carasent AB (publ),Healthcare,"Carasent AB (publ) provides cloud based electronic health record (EHR) systems solutions and platform services for healthcare sector in Nordics and Germany. The company offers Webdoc, Webdoc X, Metodika, Ad Curis, Ad Opus, and Data-AL solutions. It also provides Medrave, Vårdrummet, Ad Voca, and HPI Plustoo services, as well as an ecosystem of platform services, including solutions for patient communication and business intelligence. The company was founded in 1997 and is headquartered in Gothenburg, Sweden."
DEDI,-0.333,-0.184,0.02645,0.15269,0.13983,0.03255,1.4888506,3.8938053,5.56,Dedicare AB (publ),Industrials,"Dedicare AB (publ) operates as a recruitment and staffing company in the healthcare, life science, education, and social work industries in Sweden, Norway, Finland, the United Kingdom, and Denmark. It recruits and contracts doctors and nurses; social secretaries, family therapists, curators and family home consultants, psychologists, and various support services in psychosocial work; educators, assistants, and other roles to schools and preschools; and offers recruitment and interim solutions in life science, pharmaceutical, biotechnology, and medical technology industries, as well as other related activities. Dedicare AB (publ) was incorporated in 1995 and is headquartered in Stockholm, Sweden."
EGTX,,0.05,0.0,0.60171,-0.73186994,-0.27921,4.5107794,45.333336,,Egetis Therapeutics AB (publ),Healthcare,"Egetis Therapeutics AB (publ), a pharmaceutical company, focuses on projects in late-stage development for the treatment of serious diseases with unmet medical needs in the orphan drug segment. The company's products pipeline includes Aladote, a drug to reduce the risk of acute liver injury associated with acetaminophen/paracetamol overdose, which is in phase IIb/III clinical trial; and Emcitate, a drug for the treatment of monocarboxylate transporter 8 (MCT8) deficiency, a debilitating rare disease with no available treatment. The company was formerly known as PledPharma AB (publ) and changed its name to Egetis Therapeutics AB (publ) in December 2020. Egetis Therapeutics AB (publ) was incorporated in 2006 and is based in Stockholm, Sweden."
EPIS-B,,0.6,0.0,-1.16522,-1.09574,-0.54348,0.7302632,-0.555,,Episurf Medical AB (publ),Healthcare,"Episurf Medical AB (publ), a medical device company, designs and manufactures implants and surgical instruments in Germany, Sweden, rest of Europe, the United States, and internationally. It offers Episealer Knee for repairing focal cartilage and bone defects to reduce pain and increase mobility in the patient's knee joint; Episealer implant, which is designed to fit anatomy and size of the lesion; Episealer toolkit; and Episealer Patellofemoral System, a system to treat osteoarthritis limited to the patellofemoral part of the knee joint. The company also provides Epioscopy to identify and visualize femoral knee joint cartilage and bone lesions, and tibia, as well as defects on the cruciate ligaments and menisci; Epiguide, a surgical drill guide; and µiFidelity, a web platform for order management, communication, personalized design, and surgical pre-planning. In addition, it is developing Episealer MTP implant, an implant for the MTP joint of the big toe in the foot. Further, the company offers Talus Osteotomy Guide (TOG) that is designed to fit on the patient's distal tibia using CT and MRI images; MRI protocol to ensure correct damage assessment, 3D visualization, and device design; and Damage Marking Report (DMR) that enables 3D visualization of damage in the joint surface and underlaying bone defects, as well as other findings relevant when selecting the right treatment for the patient. The company was formerly known as Diamorph Medtech AB and changed its name to Episurf Medical AB (publ) in 2010. Episurf Medical AB (publ) was incorporated in 2008 and is based in Stockholm, Sweden."
EQL,1.736,0.45,0.11545,0.41752997,0.21629,0.07121,11.689678,28.402555,,,Healthcare,"EQL Pharma AB (publ) engages in the development, marketing, and sale of generic medicines to pharmacies and hospitals in Sweden, Denmark, Norway, Finland, and the rest of Europe. It offers injection products for inpatient care and formulations for outpatient care. EQL Pharma AB (publ) was incorporated in 2006 and is based in Lund, Sweden."
IMMNOV,,-0.109,0.0,1.0,-3.60191,-1.13815,3.8705356,0.06192857,,Immunovia AB (publ),Healthcare,"Immunovia AB (publ), a diagnostic company, develops blood diagnostic for detecting pancreatic cancer in Sweden. It focuses on the development and commercialization of blood-based testing to detect proteins and antibodies that indicate pancreatic cancer in an individual. Immunovia AB (publ) was incorporated in 2007 and is headquartered in Lund, Sweden."
IBT-B,,,0.0,0.0,-0.58408,-0.29868,4.2383294,,,Infant Bacterial Therapeutics AB (publ),Healthcare,"Infant Bacterial Therapeutics AB (publ) operates as a clinical stage pharmaceutical company develops and markets drugs to prevent serious neonatal diseases affecting premature infants in Sweden. The company's lead drug candidate is IBP-9414, which is in Phase III clinical studies to prevent necrotizing enterocolitis, as well as to improve feeding tolerance in premature infants. It is also developing IBP-1016 for the treatment of gastroschisis, a rare and severe birth abnormality in infants. In addition, its drug candidates include IBP-1118 to prevent retinopathy of prematurity that causes blindness in premature babies; and IBP-1122, indicated to eliminate vancomycin resistant enterococci that cause antibiotic resistant hospital infections. The company was incorporated in 2011 and is based in Stockholm, Sweden."
IRLAB-A,,,-0.78876996,-0.33555,-1.9189501,-0.2698,37.64045,-25.769232,,IRLAB Therapeutics AB (publ),Healthcare,"IRLAB Therapeutics AB (publ) discovers and develops drugs for the treatment of Parkinson's disease and other CNS disorders. The company develops Mesdopetam that is in phase IIb clinical studies for the treatment of levodopa-induced dyskinesia; and Pirepemat, which is in phase IIb clinical trial indicated for the treatment of falls frequency, postural dysfunction, cognitive function, and symptoms of Parkinson's disease. Its preclinical stage products include IRL942 research programs for the treatment of cognitive deficits in Parkinson's and other neurological disorders; IRL757 to treat apathy in neurological diseases; and IRL1117, a drug candidate developed oral treatment for the hallmark symptoms of Parkinson's. In addition, the company develops P003, a research project that discovers and develops dopamine D1 and D2 receptor agonist compounds for the treatment of Parkinson's core motor symptoms. IRLAB Therapeutics AB (publ) was incorporated in 2013 and is headquartered in Gothenburg, Sweden."
ISOFOL,,,0.0,0.0,-0.54912,-0.29111,2.4183416,-19.25,,Isofol Medical AB (publ),Healthcare,"Isofol Medical AB (publ) operates as a clinical stage biotech company. The company develops arfolitixorin, which is in phase Ib/II clinical trial for the treatment of metastatic colorectal cancer. Isofol Medical AB (publ) was incorporated in 2008 and is based in Gothenburg, Sweden."
KDEV,,0.14,0.0,1.0,-0.01821,-0.01474,0.21330982,-9.679999,,Karolinska Development AB (publ),Healthcare,"Karolinska Development AB (publ) is a venture capital firm specializing in investments in growth capital, seed stage, and early stage companies. It seeks to invest in pharmaceutical research and development, medical research, medical innovations, healthcare technology, gene research and development, drug delivery technologies, biotechnology, and life science tools and service sectors. The firm seeks to invest in the Nordic region with a focus on Sweden, Iceland, Norway, Finland, and Denmark. It prefers to be a lead investor in its portfolio companies however does consider co-investments also. It seeks to invest in up to five projects annually. Karolinska Development AB (publ) was founded in 2003 and is headquartered in Stockholm, Sweden."
MVIR,,0.2,0.0,0.0,-0.70371,-0.34774,2.2786884,-1.695122,,Medivir AB (publ),Healthcare,"Medivir AB (publ), a pharmaceutical company, focuses on the development and commercialization of treatments for cancer in Nordic region, rest of Europe, and internationally. The company markets Xerclear for the treatment of labial herpes under the Zoviduo name. It is also developing Remetinostat HDAC inhibitor for treating MF cutaneous T-cell lymphoma and basal cell carcinoma, as well as squamous cell carcinoma. In addition, the company is developing MIV-818 for the treatment of liver cancer; MIV-711 to treat osteoarthritis; and Birinapant and IGM-8444 for the treatment of solid tumors, as well as USP-1/TNG348, USP-7, and MBLI/MET-X, which completed preclinical trials for treating cancer and infection. It has a collaboration and supply agreement with Eisai to evaluate fostrox, a liver-targeted treatment, in combination with lenvatinib for the treatment of liver cancer. The company was incorporated in 1987 and is based in Huddinge, Sweden."
IMMU,,-0.519,0.0,0.0,-0.19161,-0.1137,0.6359092,-15.836735,,Mendus AB (publ),Healthcare,"Mendus AB (publ), a biopharmaceutical company, develops immunotherapies for the treatment of tumor recurrence and established tumors. Its lead product is vididencel (DCP-001), which is in Phase II ADVANCE-II clinical trial for the treatment of acute myeloid leukemia (AML); Phase II CADENCE clinical trial to treat AML; and Phase I ALISON clinical trial for the treatment of ovarian cancers. The company also develops ilixadencel, which is in phase 1/2 clinical trial for the treatment of soft tissue sarcomas; and an NK cell program, which is in a preclinical study for NK cell-based therapies. It has strategic alliance with NorthX Biologic to support large-scale manufacturing and commercial launch of vididencel; and the Australasian Leukaemia and Lymphoma Group to expand the clinical development of vididencel as a maintenance treatment for AML. The company was formerly known as Immunicum AB (publ) and changed its name to Mendus AB (publ) in June 2022. Mendus AB (publ) was incorporated in 2002 and is headquartered in Stockholm, Sweden."
MOB,,3.718,0.0,0.65226,-0.38964,-0.3007,0.59945506,-44.0,,Moberg Pharma AB (publ),Healthcare,"Moberg Pharma AB (publ), a pharmaceutical company, develops and commercializes medical products primarily in Sweden. It offers MOB-015 for the treatment of nail fungus under the Terclara brand. The company was formerly known as Moberg Derma AB (publ) and changed its name to Moberg Pharma AB (publ) in May 2013. Moberg Pharma AB (publ) was incorporated in 2006 and is based in Bromma, Sweden."
NICA,,1.134,-2.91482,0.17282,-1.5782601,-0.28062,2.2688358,4.568966,,Nanologica AB (publ),Healthcare,"Nanologica AB (publ), a nanotechnology company, develops, manufactures, and sells nanoporous silica particles for life science industry in China, India, the United State of America, and internationally. It offers NLAB Saga, a new generation silica for preparative chromatography; and SVEA, a pre-packaged columns for analytical chromatography; and high-performance liquid chromatography, a separation method based on different substances in a solution passing through a column at different paces. The company provides products for the analysis and purification of substances, with a focus on peptides drugs for the treatment of diabetes and obesity. Nanologica AB (publ) was incorporated in 2004 and is headquartered in Södertälje, Sweden."
ONCO,,1.616,0.0,0.9425,,-0.92723,-130.96153,-4.795775,,Oncopeptides AB (publ),Healthcare,"Oncopeptides AB (publ), a biotech company, engages in the research, development, and commercialization of targeted therapies for difficult-to-treat hematological diseases in the United States, Europe, and internationally. Its lead product candidate is Pepaxti (melflufen), a drug conjugate for the treatment of relapsed refractory multiple myeloma in adult patients. The company's PDC platform designed with two components, peptide carrier and a cytotoxic payload which utilizes the altered metabolism of cancer cells to hydrolyze PDC into active hydrophilic metabolites, which lead to an enrichment in cancer cells. It offers OPD5, OPDC3, and Gliopep for the treatment of hematological or solid tumors, and glioblastoma. The company also provides Small Polypeptide based Killer Engagers (SPiKE) platform that is designed to bind to both NK-cells and specific targets on various cancer cells. Oncopeptides AB (publ) was incorporated in 2000 and is headquartered in Stockholm, Sweden."
ORX,,0.05,-0.35182,0.86681,,-0.12575,-3.9957218,-4.3644857,,Orexo AB (publ),Healthcare,"Orexo AB (publ), a specialty pharmaceutical company, develops and commercializes pharmaceuticals and digital therapies in the United States, European Union, the United Kingdom, and internationally. Its products include Zubsolv tablets for the treatment of opioid use disorder; Abstral for the treatment of breakthrough pain in cancer patients; and Edluar for the treatment of insomnia. The company is developing OX124 for opioid overdose; OX125 for rescue medication and opioid overdose; OX640 to treat anaphylaxis with powder-based epinephrine; and OX-MPI for the treatment of endometriosis. In addition, its digital therapies include deprexis for the treatment of depression; vorvida for alcohol management; and modia for opioid use disorder. The company has a collaboration agreement with Abera Bioscience AB to develop nasal powder vaccines based on the AmorphOX technology. Orexo AB (publ) was founded in 1994 and is headquartered in Uppsala, Sweden."
QLINEA,,1.082,0.0,-0.62988,-1.62406,-0.67661005,2.9800336,-199.99998,,Q-linea AB (publ),Healthcare,"Q-linea AB (publ) engages in the development of instruments and consumables for infection disease diagnostics in the United Kingdom. The company offers ASTar, an antimicrobial susceptibility testing technologies used in the treatment of bloodstream infections and sepsis. It also develops Podler, a portable blood culture unit for incubating and detecting growth in blood bottles. It serves to physicians, hospitals, laboratories, healthcare payers and the medical profession. The company was incorporated in 2007 and is headquartered in Uppsala, Sweden."
SANION,,0.623,0.64088,0.98491997,1.6068201,0.68494004,4.05656,,,Saniona AB (publ),Healthcare,"Saniona AB (publ), a clinical-stage biopharmaceutical company, engages in the research, development, and commercialization of treatments for rare disease patients in Sweden, the United States, Germany, Denmark, and the United Kingdom. It also develops medicines modulating ion channels. The company's product includes Tesofensine, a monoamine reuptake inhibitor that has completed Phase 3 clinical trial to treat people with obesity; and Tesomet, an oral investigational therapy, which is in Phase 2b clinical trial for the treatment of hypothalamic obesity and Prader-Willi syndrome; and ACP-711, a positive allosteric modulator of GABAA a3 containing receptors that has completed Phase 1 clinical trial for the treatment of essential tremor, a neurological disorder. It also develops SAN903, a novel medicine based on inhibition of the calcium-activated potassium ion channel, which has completed preclinical development for the treatment of inflammatory bowel disease; SAN2219, a subtype selective positive allosteric modulator of GABAA a2- a3- and a5 that is in preclinical stage for treatment of acute repetitive seizures; SAN2355 to treat resistant focal onset seizures; and SAN2465, a negative allosteric modulator to treat major depressive disorder. In addition, the company's other programs to treat epilepsy, Alzheimer's, schizophrenia, and migraine. It has research and collaboration agreements with Boehringer Ingelheim International GmbH to research, develop, manufacture, and commercialize therapeutics; license agreement with Productos Medix, S.A. de C.V. develop and commercialize tesofensine and/or Tesomet; research services agreement and a collaboration agreement with Cephagenix ApS to identify and develop novel migraine treatments; and research collaboration with AstronauTx to research, develop, manufacture, and commercialize therapeutics for Alzheimer's disease. Saniona AB (publ) was founded in 2011 and is headquartered in Glostrup, Denmark."
SEZI,,0.939,-1.7959801,0.38724998,-0.38084,-0.18530001,2.5479093,-19.499998,,Senzime AB (publ),Healthcare,"Senzime AB (publ), a medical device company, develops, manufactures, and markets algorithm-powered patient monitoring systems to increase patient safety during and after surgery in Europe and the United States. It provides TetraGraph, a quantitative neuromuscular transmission monitor, which supports neuromuscular blockade management from induction to recovery; and ExSpiron, a non-invasive monitoring system that uses bioelectrical impedance sensor to measure the tissue's opposition to carrying an alternating electrical current. The company has a strategic connectivity and licensing agreement with Masimo to develop, manufacture, market, and distribute products that can connect to the Masimo Root patient monitoring system and related digital hub for data transmission to hospital electronic patient journals; license agreement with Fukuda Denshi Co. Ltd. to license TetraGraph technology; and license agreement with CoreSpiron (Henan) Co Ltd. to manufacture and sell ExSpiron system. Senzime AB (publ) was incorporated in 1999 and is headquartered in Uppsala, Sweden."
SYNACT,,,0.0,0.0,-0.49293,-0.26604998,5.898268,-12.24719,,SynAct Pharma AB,Healthcare,"SynAct Pharma AB, a clinical stage biotechnology company, researches and develops medicines for the treatment of inflammatory diseases in Sweden. The company develops AP1189, a drug candidate in Phase 2 clinical trial for the treatment of rheumatoid arthritis, idiopathic membranous nephropathy, and virus-induced respiratory insufficiency. It is also developing TXP-11, an advanced peptide agonist that is in preclinical trials for the prevention of organ failure in surgery; and various drug programs to treat auto-immune and inflammatory diseases. SynAct Pharma AB was founded in 2012 and is headquartered in Lund, Sweden."
VICO,,-0.991,0.0,1.0,-0.41334,-0.23745,1.7912164,-4.0572915,,Vicore Pharma Holding AB (publ),Healthcare,"Vicore Pharma Holding AB (publ), a clinical-stage pharmaceutical company, develops therapies for the treatment of respiratory diseases in Sweden. The company develops Buloxibutid (C21), an orally available small molecule angiotensin II type 2 receptor agonist (ATRAG) that is in Phase II clinical trial for the treatment of idiopathic pulmonary fibrosis (IPF), as well as in Phase I clinical trial for treating pulmonary arterial hypertension. It also developing Almee, an investigational medical device in clinical development that has completed Phase III clinical stage to address the psychological impact of living with pulmonary fibrosis. It has a cooperation and development agreement with Emeriti Bio AB and HaLaCore Pharma AB to develop new follow-on molecules based on C21 and other drug substances targeting the AT2 receptor, as well as a collaboration and development agreement with Alex Therapeutics AB to develop a digital app in interstitial lung diseases, such as IPF. The company was formerly known as Mintage Scientific AB. Vicore Pharma Holding AB (publ) was founded in 2000 and is headquartered in Stockholm, Sweden."
VIVE,,,0.0,0.0,-0.23341998,-0.13658,0.82974905,-2.315,,Vivesto AB,Healthcare,"Vivesto AB develops, produces, markets, and sells drugs in the field of human and veterinary oncology in Sweden. Its lead product is Apealea (paclitaxel micellar) for the treatment of ovarian cancer. The company's products portfolio includes Docetaxel micellar, a patented formulation that combines cytotoxin docetaxel with XR-17, which is in Phase 1b clinical trial for the treatment of prostate cancer; and Cantrixil to treat ovarian cancer. its animal health product portfolio includes Paccal Vet, a formulation of paclitaxel with its XR-17 encapsulation technology for the treatment of canine mastocytoma; and Doxophos Vet, a patented formulation of doxorubicin to treat lymphoma. The company was formerly known as Oasmia Pharmaceutical AB (publ) and changed its name to Vivesto AB in March 2022. Vivesto AB was incorporated in 1988 and is headquartered in Solna, Sweden."
XBRANE,,5.629,-0.5781,0.80651003,-0.52687,-0.080240004,1.9007093,13.400001,,Xbrane Biopharma AB (publ),Healthcare,"Xbrane Biopharma AB (publ), a biotechnology company, engages in the development, manufacture, and sale of biosimilars. The company offers Ximluci, a ranibizumab biosimilar used for the treatment of various eye diseases, including wet form of age-related macular degeneration, diabetic macular edema, diabetic retinopathy, retinal vein occlusion, and visual impairment due to cordial neovascularization in adults; and XB003, a biosimilar candidate to certolizumab pegol for the treatment of rheumatoid arthritis, psoriasis, Crohn's disease and axial spondylitis. It also develops its pre-clinical phase products, such as Xdivane, a cell death 1 protein (PD1) inhibitor nivolumab biosimilar, indicated for melanoma, lung cancer, kidney cell cancer, head and neck cancer, and bladder and urinary tract cancer; Xdarzane, a daratumumab biosimilar candidate, indicated for multiple melanoma; and BIIB801, a certolizumab pegol biosimilar candidate, indicated for the treatment of rheumatoid arthritis, axial spondylarthrosis, psoriatic arthritis, and psoriasis. The company was incorporated in 2008 and is headquartered in Solna, Sweden."
XSPRAY,,,0.0,0.0,-0.43143,-0.22245,3.2821496,-32.26415,,Xspray Pharma AB (publ),Healthcare,"Xspray Pharma AB (publ), a pharmaceutical company, engages in the development of protein kinase inhibitors for targeted cancer treatments in Sweden. The company develops Dasynoc, an amorphous version of dasatinib for the treatment of chronic myeloid leukemia (CML)and acute lymphoblastic leukemia; XS003, an amorphous non-crystalline nilotinib for the treatment of CML; XS008, an axitinib for the treatment of kidney cancer; and XS025, a amorphous non-crystalline cabozantinib for the treatment of renal cell carcinoma and other cancers. It has partnership agreements with EVERSANA for the commercialization of Dasynoc, as well as with NerPharMa S.r.l for production of Dasynoc. The company was formerly known as Xspray Microparticles AB and changed its name to Xspray Pharma AB (publ) in 2017. Xspray Pharma AB (publ) was incorporated in 2003 and is headquartered in Solna, Sweden."
ARPL,-0.246,0.582,0.05913,0.21053,0.14626999,0.07217,1.6086053,14.516129,2.96,Arla Plast AB,Basic Materials,"Arla Plast AB, through its subsidiaries, manufactures, sells, and distributes extruded plastic sheets in Sweden, Germany, the Czech Republic, Poland, rest of Europe, and internationally. The company offers TPC (transparent polycarbonate) used to manufacture machine guards, noise protection, and optical products; OPC (opaque polycarbonate) for protection and details for industry, suitcases, and packaging solutions; and MWPC (multiwall polycarbonate) to manufacture pool roofs, greenhouses, and various roofs for sports arenas and train stations. It also provides PETG (polyethylene terephthalate glycol-modified) used to make shop fittings, wall coverings, and food-related products; ABS (acrylonitrile butadiene styrene) to manufacture interior and exterior vehicle parts and packaging; and PMMA (polymethyl methacrylate) for outdoor applications and shop fittings. Arla Plast AB was incorporated in 1969 and is headquartered in Borensberg, Sweden."
BALCO,,-0.032,-0.02049,0.14288999,-0.035099998,0.011849999,0.76563555,5.275424,,Balco Group AB,Consumer Cyclical,"Balco Group AB engages in developing, manufacturing, selling, and installing balcony systems for tenant-owner associations, private landlords, municipal housing, architects, builders, and shipping companies. The company operates through Renovation and New Build segments. It offers glazed, open, city, maritime, and prefabricated balconies, as well as provides facade solutions; and accessories and other products comprising privacy screens, side and intermediate screens, glass corners, balcony doors, sun protection, roller blinds, flower boxes, flag holders, solar cells, and locks. It has operations in Sweden, Norway, Denmark, Finland, the United Kingdom, Germany, and the Netherlands. The company was founded in 1987 and is headquartered in Växjö, Sweden."
BERNER-B,0.404,-0.029,0.042280003,0.39376,0.16102,0.05371,4.566552,17.528736,1.63,Berner Industrier AB,Industrials,"Berner Industrier AB engages in the technology distribution, and energy and environment business in Sweden, Norway, Finland, and Denmark. The company is involved in the technology and distribution business, that includes water treatment, packaging equipment, vibration dampening, technical plastics, and process technology. It also offers energy and environment products, such as electric boilers, high pressure pumps, food and pharmaceutical pumps, industrial dampers, sound isolation, and noise-reducing control cabins. In addition, the company provides wear parts and noisy machinery for industrial corporates. Berner Industrier AB was formerly known as Christian Berner Tech Trade AB (publ) and changed its name to Berner Industrier AB in May 2024. The company was founded in 1897 and is headquartered in Stockholm, Sweden."
BONG,-0.667,-0.039,-0.00679,0.16018999,-0.0242,0.00884,0.27610758,6.98,,Bong AB (publ),Consumer Cyclical,"Bong AB (publ) provides light packaging and envelope products in Central Europe, South Europe, North Africa, Nordics, and the United Kingdom. The company offers light packaging products, such as expanders and pockets, which include kraft paper mailers, cushioned paper mailers, air bubble and all board mailers, corrugated packaging and flexible packaging for e-commerce and retail sectors, as well as manufactures and sells envelopes in various shapes and sizes. It also provides gift and carrier bag solutions for retail trade. In addition, the company offers solutions for distribution and packaging of information, advertising materials, and lightweight goods. The company offers its products under the e-Green, AirPro Green, AirPro, and Tyvek brands. Bong AB (publ) was founded in 1737 and is headquartered in Kristianstad, Sweden."
CNCJO-B,,-0.106,-0.05625,0.39409,-0.05104,-0.013730001,0.69798607,20.994764,,Concejo AB (publ),Industrials,"Concejo AB (publ) designs, manufactures, and supplies fire safety products and systems. The company offers safety systems for firefighting, including preventive, detection, alarms, and support solutions and systems; and consulting services, such as technical calculation, design, risk analysis, and training services to oil and gas, and power and energy companies. It also engages in the development, site analysis, acquisitions, and sale of properties; and capital market activities, as well as provides asset, technical, and housing management services. The company was formerly known as Consilium AB (publ). The company was incorporated in 1993 and is headquartered in Nacka, Sweden. Concejo AB (publ) is a subsidiary of Platanen Holding AB."
ELTEL,,-0.038,-0.00243,0.11618,-0.00782,0.03487,10.598626,1080.0,,Eltel AB (publ),Communication Services,"Eltel AB (publ) operates as an infrastructure and service provider for critical communication and power networks in Finland, Sweden, Norway, Denmark, Lithuania, Germany, and internationally. The company designs, builds, maintains, and upgrades power distribution and transmission infrastructure, including turnkey high-voltage projects and network construction; and provides turnkey solutions for smart grids, electric vehicle charging infrastructure, wind farms and solar parks, battery energy storage systems, and data centers. It also designs, installs, upgrades, and services mobile and fixed communication networks, fixed wireless access, 5G, public and private mobile indoor, and data centers infrastructure. In addition, the company provides Turvatikas safety ladders; rollouts, upgrade, and corrective maintenance services; and fiber-to-the-home rollouts. It serves telecom operators and network owners, industrial customers, public sector, and utility companies, as well as national transmission system operators and owners of power distribution grids. Eltel AB (publ) was founded in 2001 is headquartered in Bromma, Sweden."
FNM,,0.029,-0.065,0.17228001,-0.2013,0.00182,0.4951701,6.936202,,Ferronordic AB (publ),Industrials,"Ferronordic AB (publ), together with its subsidiaries, sells, rents, and services construction equipment, trucks, and other machines in Kazakhstan, Germany, and the United States. It also sells, repairs, and maintains machines, engines, spare parts, and attachments; and offers aftermarket sales services, as well as technical support, contracting, and other services. The company offers excavators, wheel loaders, compactors, articulated haulers, drill rigs, mobile cranes, compact haulers, backhoe loaders, road construction equipment, crushers, and other equipment. Further, it provides consultancy services, such as machine operator training, as well as offers transport solutions. The company's brand portfolio includes Volvo Construction Equipment, Volvo Trucks, Renault Trucks, Hitachi Construction Machinery, Sandvik, Link-Belt Cranes, Mecalac, Bergmann, and Ammann. It serves the forestry, transport and logistics, general construction, road construction, mining, agriculture and landscaping, recycling and waste, quarries and aggregates, and oil and gas industries. Ferronordic AB (publ) was incorporated in 2008 and is headquartered in Stockholm, Sweden."
HAKI-A,,0.087,0.02241,0.35668,0.03681,0.026819998,1.2850717,,1.97,HAKI Safety AB (publ),Industrials,"HAKI Safety AB (publ) provides safety products and solutions for infrastructure, energy, industry, aviation, rail and construction, and civil engineering industries in Europe and North America. The company offers work zone safety products, such as catchfans, barrier systems, fall protection, access platforms, and stairs; system scaffolds products, including system and frame scaffolding, weather protection, stair solutions, and bridge systems; surveying instruments and equipment for land surveying, and construction laser level tools; Bespoke platform solutions and training; and digital design and construction tools for planning and visualization. The company was formerly known as Midway Holding AB (publ) and changed its name to HAKI Safety AB (publ) in December 2023. The company was incorporated in 1988 and is headquartered in Malmö, Sweden."
HAKI-B,,0.087,0.02241,0.35668,0.03681,0.026819998,0.9766545,9.499999,2.21,HAKI Safety AB (publ),Industrials,"HAKI Safety AB (publ) provides safety products and solutions for infrastructure, energy, industry, aviation, rail and construction, and civil engineering industries in Europe and North America. The company offers work zone safety products, such as catchfans, barrier systems, fall protection, access platforms, and stairs; system scaffolds products, including system and frame scaffolding, weather protection, stair solutions, and bridge systems; surveying instruments and equipment for land surveying, and construction laser level tools; Bespoke platform solutions and training; and digital design and construction tools for planning and visualization. The company was formerly known as Midway Holding AB (publ) and changed its name to HAKI Safety AB (publ) in December 2023. The company was incorporated in 1988 and is headquartered in Malmö, Sweden."
